Country ,Year,The number of people with depression
Japan,1995,4115554.549
Japan,1996,4123886.898
Japan,1997,4113848.106
Japan,1998,4097710.172
Japan,1999,4085841.885
Japan,2000,4091640.336
Japan,2001,4117818.197
Japan,2002,4153787.526
Japan,2003,4192526.903
Japan,2004,4227847.449
Japan,2005,4253696.649
Japan,2006,4270483.817
Japan,2007,4284510.037
Japan,2008,4296349.709
Japan,2009,4308931.687
Japan,2010,4323850.369
Japan,2011,4342819.171
Japan,2012,4368760.929
Japan,2013,4400454.724
Japan,2014,4437730.163
Japan,2015,4479392.761
Japan,2016,4524698.949
Japan,2017,4570520.814
South Korea,1990,1218597.235
South Korea,1991,1236162.034
South Korea,1992,1250192.3
South Korea,1993,1262167.751
South Korea,1994,1272764.175
South Korea,1995,1284240.947
South Korea,1996,1298151.668
South Korea,1997,1311856.958
South Korea,1998,1325357.003
South Korea,1999,1340108.522
South Korea,2000,1355564.776
South Korea,2001,1369580.186
South Korea,2002,1383010.318
South Korea,2003,1395683.973
South Korea,2004,1408608.837
South Korea,2005,1424939.288
South Korea,2006,1447782.84
South Korea,2007,1478076.478
South Korea,2008,1512478.258
South Korea,2009,1549350.285
South Korea,2010,1586324.881
South Korea,2011,1623457.913
South Korea,2012,1662736.145
South Korea,2013,1701244.639
South Korea,2014,1741774.91
South Korea,2015,1780771.574
South Korea,2016,1819487.221
South Korea,2017,1856657.766
